Subfolder,Number of Pages,Ground Truth File,Accuracy,Precision,Recall,F1 Score,OCR File
Chapter96,6,Chapter96.txt,0.19503700478885502,0.5322244260293328,0.19503700478885502,0.26036208234844044,Chapter96.txt
Chapter135,14,Chapter135.txt,0.0811711079943899,0.557868465823152,0.0811711079943899,0.1256936748927986,Chapter135.txt
Chapter98,3,Chapter98.txt,0.481371087928465,0.7013316503948823,0.481371087928465,0.5539373792757166,Chapter98.txt
Chapter115,3,Chapter115.txt,0.5198019801980198,0.6877932599740257,0.5198019801980198,0.5772178222454948,Chapter115.txt
Chapter19,4,Chapter19.txt,0.28523489932885904,0.5968835972219944,0.28523489932885904,0.3651694336467741,Chapter19.txt
Chapter80,3,Chapter80.txt,0.0,0.0,0.0,0.0,Chapter80.txt
Chapter59,4,Chapter59.txt,0.44080604534005036,0.690611321262547,0.44080604534005036,0.5139414368035241,Chapter59.txt
Chapter26,4,Chapter26.txt,0.0010995052226498076,0.0003592541556589811,0.0010995052226498076,0.00044722794132618537,Chapter26.txt
Chapter31,3,Chapter31.txt,0.005178907721280603,0.014247970425706597,0.005178907721280603,0.005789162881410728,Chapter31.txt
Chapter65,3,Chapter65.txt,0.4964200477326969,0.7336285906570639,0.4964200477326969,0.5728212469676874,Chapter65.txt
Chapter134,11,Chapter134.txt,0.09843184559710494,0.5284685198195451,0.09843184559710494,0.1462845584717405,Chapter134.txt
Chapter14,3,Chapter14.txt,0.0022371364653243847,0.02796420581655481,0.0022371364653243847,0.0032662192393736016,Chapter14.txt
Chapter53,6,Chapter53.txt,0.009187279151943463,0.038748081521933105,0.009187279151943463,0.0126704979390513,Chapter53.txt
Chapter97,1,Chapter97.txt,0.8117647058823529,0.8113279857397505,0.8117647058823529,0.8101641778731127,Chapter97.txt
Chapter50,3,Chapter50.txt,0.5060514372163388,0.705191520976428,0.5060514372163388,0.574445899644188,Chapter50.txt
Chapter101,6,Chapter101.txt,0.3046594982078853,0.6637575478837354,0.3046594982078853,0.39226563199549047,Chapter101.txt
Chapter127,3,Chapter127.txt,0.5037720033528919,0.6272687276624999,0.5037720033528919,0.5491731442191551,Chapter127.txt
Chapter125,4,Chapter125.txt,0.32104934415990005,0.658036540897117,0.32104934415990005,0.40458028198312257,Chapter125.txt
Chapter39,1,Chapter39.txt,0.6274509803921569,0.6022062313238784,0.6274509803921569,0.6077375777393789,Chapter39.txt
Chapter16,16,Chapter16.txt,0.0,0.0,0.0,0.0,Chapter16.txt
Chapter119,8,Chapter119.txt,0.18385650224215247,0.5818173951981863,0.18385650224215247,0.2583095729366328,Chapter119.txt
Chapter110,7,Chapter110.txt,0.12417270721714466,0.4738051933863358,0.12417270721714466,0.1703172706920742,Chapter110.txt
Chapter44,7,Chapter44.txt,0.0,0.0,0.0,0.0,Chapter44.txt
Chapter118,4,Chapter118.txt,0.3763440860215054,0.6114610138908964,0.3763440860215054,0.4448914094086599,Chapter118.txt
